"","lons","lats","max_detect","when_detect","max_detect_scaled","when_detect_scaled","cluster"
"1",280.5,30.5,0.329113924050633,1962,0.664556962025317,0.448,2
"2",281.5,30.5,0.316455696202532,1962,0.658227848101266,0.448,2
"3",282.5,30.5,-0.151898734177215,2012,0.424050632911392,0.648,3
"4",283.5,30.5,-0.126582278481013,2060,0.436708860759494,0.84,3
"5",284.5,30.5,0.0632911392405063,1965,0.531645569620253,0.46,2
"6",285.5,30.5,0.0886075949367089,1965,0.544303797468354,0.46,2
"7",286.5,30.5,0.0506329113924051,1965,0.525316455696203,0.46,2
"8",287.5,30.5,0.0379746835443038,1897,0.518987341772152,0.188,1
"9",288.5,30.5,0.0632911392405063,1899,0.531645569620253,0.196,1
"10",289.5,30.5,0.0506329113924051,1897,0.525316455696203,0.188,1
"11",290.5,30.5,0.0759493670886076,1897,0.537974683544304,0.188,1
"12",291.5,30.5,0.0886075949367089,1897,0.544303797468354,0.188,1
"13",292.5,30.5,0.113924050632911,1897,0.556962025316456,0.188,1
"14",293.5,30.5,0.126582278481013,1897,0.563291139240506,0.188,1
"15",294.5,30.5,0.126582278481013,1897,0.563291139240506,0.188,1
"16",295.5,30.5,0.113924050632911,1897,0.556962025316456,0.188,1
"17",296.5,30.5,0.10126582278481,1895,0.550632911392405,0.18,1
"18",297.5,30.5,0.0632911392405063,1893,0.531645569620253,0.172,1
"19",298.5,30.5,0.0506329113924051,1891,0.525316455696203,0.164,1
"20",299.5,30.5,0.0506329113924051,1959,0.525316455696203,0.436,2
"21",300.5,30.5,0.0506329113924051,1959,0.525316455696203,0.436,2
"22",301.5,30.5,0.0506329113924051,1959,0.525316455696203,0.436,2
"23",302.5,30.5,0.0506329113924051,1959,0.525316455696203,0.436,2
"24",303.5,30.5,0.0632911392405063,1964,0.531645569620253,0.456,2
"25",304.5,30.5,0.0632911392405063,1959,0.531645569620253,0.436,2
"26",305.5,30.5,0.0632911392405063,1965,0.531645569620253,0.46,2
"27",306.5,30.5,0.0632911392405063,1965,0.531645569620253,0.46,2
"28",307.5,30.5,0.0632911392405063,1965,0.531645569620253,0.46,2
"29",308.5,30.5,0.0759493670886076,1965,0.537974683544304,0.46,2
"30",309.5,30.5,0.0886075949367089,1965,0.544303797468354,0.46,2
"31",310.5,30.5,0.0759493670886076,1965,0.537974683544304,0.46,2
"32",311.5,30.5,0.0759493670886076,1965,0.537974683544304,0.46,2
"33",312.5,30.5,0.0759493670886076,1965,0.537974683544304,0.46,2
"34",313.5,30.5,0.0886075949367089,1965,0.544303797468354,0.46,2
"35",314.5,30.5,-0.0632911392405063,2025,0.468354430379747,0.7,3
"36",315.5,30.5,-0.126582278481013,2059,0.436708860759494,0.836,3
"37",316.5,30.5,-0.189873417721519,2025,0.40506329113924,0.7,3
"38",317.5,30.5,-0.367088607594937,2041,0.316455696202532,0.764,3
"39",318.5,30.5,-0.443037974683545,2044,0.278481012658228,0.776,3
"40",319.5,30.5,-0.455696202531646,2044,0.272151898734177,0.776,3
"41",320.5,30.5,-0.39240506329114,2035,0.30379746835443,0.74,3
"42",321.5,30.5,-0.329113924050633,2031,0.335443037974683,0.724,3
"43",322.5,30.5,-0.278481012658228,2041,0.360759493670886,0.764,3
"44",323.5,30.5,-0.240506329113924,2029,0.379746835443038,0.716,3
"45",324.5,30.5,-0.227848101265823,2029,0.386075949367089,0.716,3
"46",325.5,30.5,-0.215189873417722,2027,0.392405063291139,0.708,3
"47",326.5,30.5,-0.20253164556962,2023,0.39873417721519,0.692,3
"48",327.5,30.5,-0.20253164556962,2023,0.39873417721519,0.692,3
"49",328.5,30.5,-0.20253164556962,2023,0.39873417721519,0.692,3
"50",329.5,30.5,-0.20253164556962,2023,0.39873417721519,0.692,3
"51",330.5,30.5,-0.20253164556962,2023,0.39873417721519,0.692,3
"52",331.5,30.5,-0.189873417721519,2023,0.40506329113924,0.692,3
"53",332.5,30.5,-0.164556962025316,2023,0.417721518987342,0.692,3
"54",333.5,30.5,0.151898734177215,1922,0.575949367088608,0.288,1
"55",334.5,30.5,0.151898734177215,1917,0.575949367088608,0.268,1
"56",335.5,30.5,0.177215189873418,1935,0.588607594936709,0.34,2
"57",336.5,30.5,0.253164556962025,1965,0.626582278481013,0.46,2
"58",337.5,30.5,0.240506329113924,1962,0.620253164556962,0.448,2
"59",338.5,30.5,0.215189873417722,1962,0.607594936708861,0.448,2
"60",339.5,30.5,0.240506329113924,1962,0.620253164556962,0.448,2
"61",340.5,30.5,0.215189873417722,1962,0.607594936708861,0.448,2
"62",341.5,30.5,0.215189873417722,1962,0.607594936708861,0.448,2
"63",342.5,30.5,0.240506329113924,1962,0.620253164556962,0.448,2
"64",343.5,30.5,0.20253164556962,1962,0.60126582278481,0.448,2
"65",344.5,30.5,0.215189873417722,1962,0.607594936708861,0.448,2
"66",345.5,30.5,0.189873417721519,1962,0.59493670886076,0.448,2
"67",346.5,30.5,0.20253164556962,1962,0.60126582278481,0.448,2
"68",347.5,30.5,0.177215189873418,1962,0.588607594936709,0.448,2
"69",348.5,30.5,0.177215189873418,1962,0.588607594936709,0.448,2
"70",349.5,30.5,0.177215189873418,1962,0.588607594936709,0.448,2
"81",280.5,31.5,0.265822784810127,1962,0.632911392405063,0.448,2
"82",281.5,31.5,0.405063291139241,1962,0.70253164556962,0.448,2
"83",282.5,31.5,0.253164556962025,1965,0.626582278481013,0.46,2
"84",283.5,31.5,-0.278481012658228,2060,0.360759493670886,0.84,3
"85",284.5,31.5,0.0759493670886076,1962,0.537974683544304,0.448,2
"86",285.5,31.5,0.0379746835443038,1959,0.518987341772152,0.436,2
"87",286.5,31.5,0.0632911392405063,1893,0.531645569620253,0.172,1
"88",287.5,31.5,0.0759493670886076,1897,0.537974683544304,0.188,1
"89",288.5,31.5,0.0886075949367089,1903,0.544303797468354,0.212,1
"90",289.5,31.5,0.0886075949367089,1897,0.544303797468354,0.188,1
"91",290.5,31.5,0.113924050632911,1903,0.556962025316456,0.212,1
"92",291.5,31.5,0.113924050632911,1898,0.556962025316456,0.192,1
"93",292.5,31.5,0.113924050632911,1898,0.556962025316456,0.192,1
"94",293.5,31.5,0.113924050632911,1897,0.556962025316456,0.188,1
"95",294.5,31.5,0.126582278481013,1897,0.563291139240506,0.188,1
"96",295.5,31.5,0.126582278481013,1897,0.563291139240506,0.188,1
"97",296.5,31.5,0.10126582278481,1897,0.550632911392405,0.188,1
"98",297.5,31.5,0.0886075949367089,1897,0.544303797468354,0.188,1
"99",298.5,31.5,0.0886075949367089,1895,0.544303797468354,0.18,1
"100",299.5,31.5,0.0759493670886076,1895,0.537974683544304,0.18,1
"101",300.5,31.5,0.0886075949367089,1895,0.544303797468354,0.18,1
"102",301.5,31.5,0.0379746835443038,1893,0.518987341772152,0.172,1
"103",302.5,31.5,0.0253164556962025,1893,0.512658227848101,0.172,1
"104",303.5,31.5,0.0253164556962025,1893,0.512658227848101,0.172,1
"105",304.5,31.5,0.0506329113924051,1964,0.525316455696203,0.456,2
"106",305.5,31.5,0.0506329113924051,1898,0.525316455696203,0.192,1
"107",306.5,31.5,0.0759493670886076,1965,0.537974683544304,0.46,2
"108",307.5,31.5,0.0632911392405063,1964,0.531645569620253,0.456,2
"109",308.5,31.5,0.0632911392405063,1964,0.531645569620253,0.456,2
"110",309.5,31.5,0.0632911392405063,1964,0.531645569620253,0.456,2
"111",310.5,31.5,0.0632911392405063,1964,0.531645569620253,0.456,2
"112",311.5,31.5,0.0506329113924051,1964,0.525316455696203,0.456,2
"113",312.5,31.5,0.0506329113924051,1964,0.525316455696203,0.456,2
"114",313.5,31.5,0.0506329113924051,1964,0.525316455696203,0.456,2
"115",314.5,31.5,-0.0506329113924051,1998,0.474683544303797,0.592,3
"116",315.5,31.5,-0.0506329113924051,1998,0.474683544303797,0.592,3
"117",316.5,31.5,-0.0632911392405063,2025,0.468354430379747,0.7,3
"118",317.5,31.5,-0.151898734177215,2044,0.424050632911392,0.776,3
"119",318.5,31.5,-0.265822784810127,2047,0.367088607594937,0.788,3
"120",319.5,31.5,-0.417721518987342,2047,0.291139240506329,0.788,3
"121",320.5,31.5,-0.455696202531646,2047,0.272151898734177,0.788,3
"122",321.5,31.5,-0.443037974683545,2046,0.278481012658228,0.784,3
"123",322.5,31.5,-0.341772151898734,2040,0.329113924050633,0.76,3
"124",323.5,31.5,-0.316455696202532,2029,0.341772151898734,0.716,3
"125",324.5,31.5,-0.329113924050633,2045,0.335443037974683,0.78,3
"126",325.5,31.5,-0.303797468354431,2029,0.348101265822785,0.716,3
